INT	INT	INT	INT	STRING	STRING
INT	INT	INT	INT	STRING	STRING
400	1020264448	1020276479	2	60.208.0.0	60.208.46.255
401	1020276736	1020291583	2	60.208.48.0	60.208.105.255
402	1020291600	1020296192	2	60.208.106.16	60.208.124.0
403	1020296347	1020386559	2	60.208.124.155	60.209.220.255
404	1020386624	1020386699	2	60.209.221.64	60.209.221.139
405	1020386816	1020405759	2	60.209.222.0	60.210.39.255
406	1020406016	1020789759	2	60.210.41.0	60.216.3.255
407	1020789776	1020808447	2	60.216.4.16	60.216.76.255
408	1020808512	1020880898	2	60.216.77.64	60.217.104.2
409	1020880899	1020880899	1	60.217.104.3	60.217.104.3
410	1020880900	1020954111	2	60.217.104.4	60.218.133.255
411	1020954176	1020967167	2	60.218.134.64	60.218.184.255
412	1020967329	1021079038	2	60.218.185.161	60.220.109.254
413	1021079040	1021313023	2	60.220.110.0	60.223.255.255
414	1022033920	1022099455	1	60.235.0.0	60.235.255.255
415	1022820352	1023148031	1	60.247.0.0	60.251.255.255
416	1023688704	1023692799	2	61.4.64.0	61.4.79.255
417	1024360448	1024361311	2	61.14.128.0	61.14.131.95
418	1024720896	1024762111	1	61.20.0.0	61.20.160.255
419	1024762368	1024786431	1	61.20.162.0	61.20.255.255
420	1025348096	1025348607	2	61.29.146.0	61.29.147.255
421	1025507328	1026023679	1	61.32.0.0	61.39.224.255
422	1026023936	1026293759	1	61.39.226.0	61.43.255.255
423	1026555904	1026571775	2	61.48.0.0	61.48.61.255
424	1026572288	1026652415	2	61.48.64.0	61.49.120.255
425	1026652416	1026652671	1	61.49.121.0	61.49.121.255
426	1026652672	1026658303	2	61.49.122.0	61.49.143.255
427	1026658304	1026658559	1	61.49.144.0	61.49.144.255
428	1026658560	1026721535	2	61.49.145.0	61.50.134.255
429	1026721792	1026727167	2	61.50.136.0	61.50.156.255
430	1026727680	1026730495	2	61.50.159.0	61.50.169.255
431	1026731456	1026734847	1	61.50.173.192	61.50.186.255
432	1026735104	1026739711	1	61.50.188.0	61.50.205.255
433	1026739968	1026741728	2	61.50.207.0	61.50.213.224
434	1026741729	1026741729	3	61.50.213.225	61.50.213.225
435	1026741730	1026743634	2	61.50.213.226	61.50.221.82
436	1026743808	1026748415	2	61.50.222.0	61.50.239.255
437	1026748416	1026748671	1	61.50.240.0	61.50.240.255
438	1026748672	1026750207	2	61.50.241.0	61.50.246.255
439	1026750208	1026751999	1	61.50.247.0	61.50.253.255
440	1026752000	1026752255	2	61.50.254.0	61.50.254.255
441	1026752512	1026789887	2	61.51.0.0	61.51.145.255
442	1026790232	1026881023	2	61.51.147.88	61.52.245.255
443	1026881280	1026894895	2	61.52.247.0	61.53.44.47
444	1026894896	1026894896	1	61.53.44.48	61.53.44.48
445	1026894897	1026897663	2	61.53.44.49	61.53.54.255
446	1026898176	1026910719	2	61.53.57.0	61.53.105.255
447	1026911232	1026942975	2	61.53.108.0	61.53.231.255
448	1026943002	1026944255	2	61.53.232.26	61.53.236.255
449	1026944512	1026947756	2	61.53.238.0	61.53.250.172
450	1026947840	1026978559	2	61.53.251.0	61.54.114.255
451	1026978816	1026982786	2	61.54.116.0	61.54.131.130
452	1026982787	1026982787	3	61.54.131.131	61.54.131.131
453	1026982788	1027007487	2	61.54.131.132	61.54.227.255
454	1027007744	1027020806	2	61.54.229.0	61.55.24.6
455	1027020807	1027020807	1	61.55.24.7	61.55.24.7
456	1027020808	1027048447	2	61.55.24.8	61.55.131.255
457	1027048484	1027048703	2	61.55.132.36	61.55.132.255
458	1027048960	1027080191	2	61.55.134.0	61.55.255.255
459	1027088384	1027092479	1	61.56.32.0	61.56.47.255
460	1027547136	1027561983	1	61.63.32.0	61.63.89.255
461	1027562240	1027563519	1	61.63.91.0	61.63.95.255
462	1029439488	1029570559	1	61.92.0.0	61.93.255.255
463	1031798784	1031841601	1	61.128.0.0	61.128.167.65
464	1031841602	1031841632	3	61.128.167.66	61.128.167.96
465	1031852712	1031852771	2	61.128.210.168	61.128.210.227
466	1031856468	1031856468	3	61.128.225.84	61.128.225.84
467	1031856469	1031858687	1	61.128.225.85	61.128.233.255
468	1031858944	1031859198	1	61.128.235.0	61.128.235.254
469	1031859200	1031861893	1	61.128.236.0	61.128.246.133
470	1031861894	1031861914	2	61.128.246.134	61.128.246.154
471	1031861915	1031862527	1	61.128.246.155	61.128.248.255
472	1031862784	1031863295	1	61.128.250.0	61.128.251.255
473	1031863356	1031863405	1	61.128.252.60	61.128.252.109
474	1031863552	1031873791	1	61.128.253.0	61.129.36.255
475	1031874048	1031874559	1	61.129.38.0	61.129.39.255
